0,1,0,1
5051,5128,390.0,510.0
5129,5218,504.0,867.0
5215,5352,863.0,965.0
5349,5534,961.0,1039.0
5531,5605,1040.0,1106.0
5618,5686,1112.0,1193.0
5720,5842,1192.0,1270.0
5849,6028,1263.0,1341.0
6025,6093,2151.0,2289.0
6139,6378,2285.0,2378.0
6401,6589,2418.0,2529.0
6594,6698,2525.0,2615.0
6692,6853,2611.0,2680.0
6854,6961,2719.0,2812.0
6977,7168,2929.0,3064.0
7259,7369,3065.0,3146.0
7366,7773,3164.0,3275.0
7770,7877,3296.0,3368.0
7874,8002,3486.0,3600.0
7997,8359,3596.0,3689.0
8388,9191,3705.0,3792.0
9203,9343,3788.0,3998.0
9395,9484,4011.0,4080.0
9479,9550,4146.0,4299.0
9547,9672,4295.0,4571.0
9669,9893,4629.0,4701.0
9931,10299,4694.0,4928.0
10307,10405,4943.0,5021.0
10412,10528,5017.0,5347.0
10522,10620,5427.0,5625.0
10617,10715,5640.0,5787.0
10747,11031,5806.0,5887.0
11040,11315,5880.0,6105.0
11309,11398,6117.0,6333.0
11407,11547,6329.0,6470.0
11566,11832,6472.0,6547.0
11891,12058,6628.0,6757.0
12055,12162,6757.0,6886.0
14138,15298,6886.0,6979.0
15318,15401,6990.0,7212.0
15410,15538,7228.0,7324.0
15557,15679,7357.0,7471.0
15692,15886,7467.0,7797.0
15920,16051,7829.0,7895.0
16063,16557,7898.0,8420.0
16562,16720,8427.0,8538.0
16726,16857,8537.0,8807.0
16854,16964,8800.0,8872.0
16976,17134,8877.0,8973.0
17142,17252,8975.0,9260.0
17299,17364,9253.0,9412.0
17364,17447,9435.0,9606.0
18652,19620,9602.0,9806.0
19644,19754,9802.0,9874.0
19766,19876,9946.0,10087.0
19873,19965,10124.0,10202.0
19959,20135,10217.0,10283.0
20202,20279,10330.0,10513.0
20273,20365,10524.0,10836.0
20362,20475,10832.0,10901.0
20550,20618,10902.0,11043.0
20615,20710,11039.0,11264.0
20707,21063,11283.0,12798.0
21065,21181,12797.0,12869.0
21396,21467,12863.0,13169.0
21461,22348,13199.0,13394.0
22356,22613,13394.0,13463.0
22625,25207,13459.0,13531.0
25715,25807,13525.0,13960.0
27247,27321,13997.0,14096.0
27330,27626,14098.0,14236.0
27626,28207,14252.0,14324.0
28216,28290,14328.0,14613.0
28303,28371,14685.0,14847.0
29190,29306,14885.0,15095.0
29307,29441,15091.0,15319.0
29442,29519,15315.0,15408.0
29516,29611,15412.0,15583.0
29613,29711,15611.0,15857.0
29730,29894,15850.0,16537.0
29891,30799,16585.0,16663.0
34043,34129,16656.0,16761.0
